Prediction Window (Months),Task,AUROC,AUPRC,Sensitivity,Specificity,F1-Score,Lesion Complexity Score,Stent Type Score,AI Risk Prediction Score,Calibration Score,p-value,AUPRC (Ischemia),AUPRC (Bleeding,AUROC (Ischemia),AUROC (Bleeding),Standard Care EFS (%),AI-Driven EFS (%),Absolute Risk Reduction (ARR %),Relative Risk Reduction (RRR %),p-value
17,Bleeding Risk,0.9,0.81,91,79.2,84.7,0.27,0.31,0.94,0.875688727,0.001695298,0.678817105,0.653732789,0.806154392,0.705667494,68.16290452,73.14520206,-4.982297533,-7.309397345,0.004557393
32,Bleeding Risk,0.87,0.79,84.7,83.3,84,0.38,0.27,0.92,0.895040765,0.004533437,0.679867526,0.649369578,0.800905299,0.734597128,67.45318005,72.73743296,-5.284252906,-7.833956682,0.004017678
34,Ischemic Event,0.85,0.67,83.3,75.9,79.4,0.72,0.91,0.73,0.916255417,0.004943937,0.685690784,0.641582741,0.790897408,0.715454088,67.85321178,71.78459408,-3.931382304,-5.79395168,0.001102512
5,Bleeding Risk,0.87,0.69,82.9,83.4,83.1,0.7,0.05,0.85,0.873488095,0.00495222,0.681541701,0.685034105,0.843394221,0.724594295,68.46714347,76.27248396,-7.805340486,-11.4001258,0.004110764
35,Bleeding Risk,0.91,0.76,92.3,72.3,81.1,0.5,0.66,0.68,0.864637726,0.004499579,0.668654626,0.678640663,0.812819044,0.726108577,74.81844259,81.27923817,-6.460795578,-8.635298135,0.004951486
6,Bleeding Risk,0.84,0.76,88.8,71.2,79,0.19,0.75,0.94,0.909622618,0.004005477,0.65964042,0.658402132,0.84281342,0.787338592,67.22189874,72.79199572,-5.570096974,-8.286134546,0.003167351
6,Ischemic Event,0.84,0.81,82.6,73.2,77.6,0.88,0.03,0.9,0.922161041,0.002329977,0.662382051,0.684604851,0.849541931,0.753047853,72.2385132,77.03402304,-4.795509837,-6.638439282,0.002003875
31,Ischemic Event,0.82,0.78,79,77.2,78.1,0.66,0.81,0.79,0.862929528,0.003659451,0.728813868,0.608400904,0.803708057,0.797252832,74.93857391,82.52053133,-7.581957415,-10.11756298,0.003842319
33,Ischemic Event,0.78,0.67,87.1,73.6,79.8,0.33,0.83,0.75,0.901585311,0.00452762,0.748673387,0.650005643,0.828211574,0.795972267,73.33521856,77.96768791,-4.63246936,-6.316841282,0.003812908
10,Bleeding Risk,0.83,0.78,83.5,73,77.9,0.13,0.82,0.72,0.899546526,0.002881617,0.712769673,0.613609643,0.839296576,0.741950449,74.12306364,79.47293524,-5.349871601,-7.217553266,0.004089513
30,Bleeding Risk,0.87,0.79,87.2,84.8,86,0.67,0.19,0.91,0.898524315,0.001283787,0.654991213,0.68127686,0.763825292,0.726738126,67.58227346,70.96721817,-3.384944708,-5.008628054,0.001405791
16,Bleeding Risk,0.89,0.83,80.9,77.8,79.3,1,0.02,0.67,0.918356334,0.002027184,0.692185555,0.659848587,0.782537116,0.762801393,67.21706016,71.93806976,-4.721009594,-7.023528823,0.003412279
32,Ischemic Event,0.86,0.7,88.3,85.4,86.8,0.92,0.87,0.71,0.938245813,0.002770081,0.739277318,0.682133293,0.793494889,0.78311611,65.47852835,71.28524134,-5.80671299,-8.868117741,0.00445821
0,Ischemic Event,0.85,0.74,79.5,74.9,77.1,0.01,0.26,0.75,0.879102616,0.004085984,0.698606709,0.668584668,0.804666531,0.789798068,74.44827827,78.31848487,-3.870206596,-5.198517261,0.003532637
12,Bleeding Risk,0.9,0.83,87,84.9,85.9,0.42,0.74,0.84,0.877779952,0.00498127,0.716809752,0.635158096,0.751012257,0.710249448,70.89660588,77.04597899,-6.149373116,-8.673720046,0.003084581
33,Bleeding Risk,0.92,0.68,86.4,76,80.9,0.64,0.41,0.86,0.859220572,0.001357445,0.723334778,0.616231885,0.785082897,0.76725452,69.58565515,75.59257194,-6.006916791,-8.632406748,0.004466665
11,Bleeding Risk,0.86,0.79,90.6,75.2,82.2,0.85,0.84,0.73,0.854566501,0.003131299,0.744531573,0.629059505,0.848548568,0.709798796,72.45828589,79.34930914,-6.891023244,-9.510331578,0.002757442
10,Ischemic Event,0.87,0.82,84.3,81,82.6,0.61,0.98,0.94,0.896312463,0.003395994,0.733564322,0.670709572,0.818573442,0.775638448,66.89934853,74.25818,-7.358831467,-10.9998552,0.0033222
22,Bleeding Risk,0.88,0.77,84,84.6,84.3,0.63,0.37,0.67,0.923944009,0.003758811,0.731220997,0.610486671,0.834312288,0.713696794,67.86152274,74.1596798,-6.298157069,-9.280895587,0.001834798
11,Ischemic Event,0.88,0.79,79.7,78.1,78.9,0.25,0.61,0.85,0.850634075,0.001492821,0.72223456,0.66458534,0.776817708,0.715852093,67.02271519,71.41904098,-4.396325784,-6.559456404,0.004679385
3,Ischemic Event,0.81,0.82,91.5,78.8,84.7,0.1,0.35,0.9,0.889136894,0.003776963,0.712653225,0.637998594,0.832783739,0.752257161,71.91188805,77.40272161,-5.490833558,-7.635501872,0.00383619
20,Ischemic Event,0.85,0.82,89.6,76,82.2,0.77,0.48,0.85,0.873104927,0.002345208,0.703874284,0.600803649,0.798208604,0.736244576,71.00194891,75.16460314,-4.162654232,-5.862732356,0.00308264
12,Ischemic Event,0.79,0.79,90,71.7,79.8,0.37,0.87,0.72,0.866349576,0.0012705,0.718545552,0.650591402,0.807427976,0.706314686,71.94002937,78.45891826,-6.518888893,-9.061559956,0.003850926
3,Bleeding Risk,0.84,0.66,85.7,82.6,84.1,0.88,0.09,0.91,0.946379464,0.002333327,0.74541084,0.681395831,0.809145261,0.738888021,70.00985841,76.91336842,-6.903510004,-9.860768412,0.003292708
6,Ischemic Event,0.82,0.66,83,74.6,78.6,0.14,0.32,0.94,0.892672414,0.003578139,0.656078962,0.62184761,0.791742809,0.754703483,71.72923789,77.44944045,-5.720202554,-7.974715364,0.003869543
5,Bleeding Risk,0.87,0.75,89.2,71.9,79.6,0.04,0.82,0.72,0.893343103,0.002757834,0.700033458,0.664613787,0.777937279,0.731103521,71.35212016,75.83983476,-4.487714595,-6.289532231,0.004568225
9,Bleeding Risk,0.89,0.74,89.8,84.5,87.1,0.59,0.7,0.93,0.873041173,0.001769479,0.685546884,0.635004579,0.810961984,0.706089388,67.16680296,73.73632732,-6.569524356,-9.780909715,0.002929419
22,Bleeding Risk,0.86,0.67,86.2,72.7,78.9,0.55,0.72,0.74,0.926386408,0.003236797,0.652597462,0.634562143,0.779618881,0.764059396,68.87500821,74.68798802,-5.812979811,-8.439897086,0.001518313
2,Ischemic Event,0.87,0.84,86.6,72.7,79,0.26,0.06,0.66,0.930507574,0.001912245,0.717605989,0.662446708,0.841541076,0.794566974,71.98980027,79.23876853,-7.248968254,-10.06943793,0.004293663
5,Ischemic Event,0.86,0.71,90.6,72.9,80.8,0.75,0.2,0.94,0.90604203,0.003337207,0.744164315,0.603432894,0.823001501,0.708602381,65.25064598,72.19199835,-6.941352371,-10.63798261,0.0022205
23,Bleeding Risk,0.82,0.74,85.8,81.4,83.5,0.27,0.03,0.86,0.93116501,0.002604238,0.729293025,0.64618206,0.753567,0.785321419,72.75414681,77.76168759,-5.007540787,-6.882825251,0.002997957
3,Ischemic Event,0.83,0.81,84.5,73.6,78.7,0.92,0.19,0.76,0.911694855,0.001497708,0.717517763,0.645961594,0.795057797,0.785897918,70.70854419,74.85008575,-4.141541556,-5.857200998,0.001661571
11,Ischemic Event,0.89,0.8,81.1,74.6,77.7,0.38,0.14,0.9,0.93650923,0.001238481,0.720077184,0.624610548,0.817794998,0.790131351,66.4093002,71.99011295,-5.580812752,-8.403661437,0.002135661
13,Bleeding Risk,0.83,0.71,87.9,74.3,80.5,0.57,0.6,0.89,0.917090199,0.002936624,0.732267063,0.6994483,0.809762891,0.767992148,66.68300279,72.10627619,-5.423273402,-8.132917198,0.003890696
21,Bleeding Risk,0.83,0.67,85.6,85.7,85.6,0.13,0.81,0.9,0.871980155,0.004372561,0.662059882,0.695843034,0.802217363,0.726519758,73.50451671,80.58735865,-7.082841938,-9.635927498,0.004340082
14,Ischemic Event,0.88,0.72,86.4,72.8,79,0.03,0.73,0.92,0.87582399,0.001970025,0.717070611,0.623893613,0.834443991,0.77268766,69.86291777,76.73406416,-6.871146392,-9.83518383,0.001640362
33,Ischemic Event,0.91,0.83,89.6,83,86.2,0.18,0.54,0.77,0.887435425,0.002854646,0.742105357,0.629176744,0.793941851,0.761117805,71.08174353,78.93927612,-7.857532592,-11.0542204,0.002781741
0,Bleeding Risk,0.88,0.78,86.4,84.9,85.6,0.04,0.72,0.81,0.855102214,0.002655894,0.711331029,0.662177425,0.774211816,0.703639083,71.38437351,78.07933966,-6.694966153,-9.378755914,0.001533209
30,Bleeding Risk,0.85,0.7,92.8,72.2,81.2,0.6,0.88,0.93,0.922519905,0.002926767,0.668166915,0.67790511,0.847873857,0.719458456,72.81780376,78.93009926,-6.1122955,-8.3939575,0.004329336
35,Bleeding Risk,0.85,0.77,87.1,75.6,80.9,0.81,0.63,0.71,0.923639589,0.004962184,0.67664588,0.642324152,0.765940742,0.718528834,74.28629655,81.28827474,-7.001978187,-9.425665987,0.003345895
13,Ischemic Event,0.88,0.67,79.1,80.2,79.6,0.51,0.72,0.66,0.933431897,0.001126486,0.707010883,0.66064746,0.842698516,0.791312338,72.91071651,79.88835275,-6.97763624,-9.570110643,0.001825577
6,Bleeding Risk,0.87,0.79,87.1,84.8,85.9,0.43,0.44,0.81,0.861688959,0.004725182,0.697273972,0.627321303,0.796133486,0.757821332,72.14139882,75.96528148,-3.823882665,-5.300538564,0.004035508
19,Ischemic Event,0.86,0.84,88,79.8,83.7,0.82,0.36,0.82,0.856292562,0.00481183,0.697569252,0.621828232,0.755581803,0.778880092,67.59233737,73.03492047,-5.442583106,-8.052071164,0.002234533
23,Bleeding Risk,0.89,0.79,88.1,74.2,80.6,0.94,0.69,0.94,0.869769917,0.003523805,0.731067595,0.604132587,0.839580946,0.707862838,66.90223517,74.12528094,-7.223045769,-10.79641921,0.004948564
36,Bleeding Risk,0.84,0.78,90.2,80.5,85.1,0.75,0.45,0.87,0.852793053,0.003521794,0.658514764,0.623885485,0.840523601,0.788042779,73.73239322,77.02947546,-3.297082247,-4.471687549,0.004482088
37,Bleeding Risk,0.83,0.71,90.7,84.5,87.5,0.51,0.01,0.71,0.882816092,0.001348758,0.656568359,0.629831834,0.75563619,0.762369136,69.58793645,76.2544807,-6.666544243,-9.580028641,0.00231203
9,Bleeding Risk,0.87,0.68,88.4,77.3,82.5,0.74,0.44,0.66,0.913509613,0.004384188,0.662029432,0.684770471,0.822198869,0.731666163,67.67720132,71.91310789,-4.23590657,-6.258986021,0.001325936
6,Ischemic Event,0.92,0.72,89,83.5,86.2,0.08,0.87,0.74,0.905894507,0.002744504,0.690394006,0.642011679,0.780165021,0.772034494,72.77471938,80.37275519,-7.598035809,-10.44048795,0.001293673
17,Ischemic Event,0.87,0.78,93,84.4,88.5,0.23,0.89,0.7,0.905363219,0.00452782,0.672827927,0.645972716,0.753430533,0.708691777,68.07250871,73.90811546,-5.835606748,-8.572633591,0.004772873
33,Bleeding Risk,0.78,0.71,84.4,75.4,79.6,0.42,0.89,0.68,0.940959922,0.00255029,0.744610135,0.68485122,0.816157565,0.714272897,74.72198184,78.66196979,-3.939987948,-5.272863287,0.004199126
31,Ischemic Event,0.87,0.74,85.3,74.1,79.3,0.98,0.83,0.93,0.942005047,0.004549729,0.683595407,0.695767322,0.787113321,0.742571463,70.36983021,74.41906887,-4.04923866,-5.754225423,0.004324407
31,Ischemic Event,0.81,0.82,86.6,82.2,84.3,0.48,0.91,0.69,0.91850755,0.002800573,0.74111603,0.635717399,0.846123998,0.777310988,70.90307633,77.29545202,-6.392375689,-9.015653509,0.001865901
15,Ischemic Event,0.87,0.71,86.9,81.9,84.3,0.28,0.98,0.78,0.940460082,0.001660129,0.664990075,0.653610096,0.810300751,0.715597296,71.94779185,77.55087823,-5.603086378,-7.787711386,0.001676181
16,Ischemic Event,0.89,0.79,85.8,81.2,83.4,0.62,0.01,0.83,0.898835971,0.002183913,0.672834904,0.693198261,0.766003401,0.746069191,71.44701791,76.90994438,-5.462926476,-7.64612245,0.00494178
8,Ischemic Event,0.91,0.76,86.3,73.8,79.6,0.33,0.22,0.66,0.939196944,0.00141325,0.687291869,0.672751717,0.783857359,0.745267575,68.18079364,74.51637024,-6.335576597,-9.292318641,0.001261246
11,Ischemic Event,0.82,0.77,87.3,79.2,83.1,0.71,0.83,0.69,0.934440362,0.00465226,0.678985359,0.650811443,0.831468141,0.742965218,71.54461165,74.63360656,-3.088994905,-4.317578688,0.002361602
32,Bleeding Risk,0.83,0.81,88.2,80.4,84.1,0.97,0.17,0.84,0.906645407,0.004877861,0.71363623,0.626293556,0.819181155,0.792176759,73.88344631,81.3455437,-7.462097394,-10.09982312,0.002205777
4,Ischemic Event,0.78,0.67,87.1,82.6,84.8,0.44,0.83,0.73,0.854274132,0.003021749,0.718281573,0.639845108,0.846584196,0.725976136,66.36692102,73.78106968,-7.414148665,-11.17145191,0.002561714
8,Ischemic Event,0.79,0.83,86.4,74.7,80.1,0.62,0.57,0.84,0.853728677,0.00410104,0.709868986,0.624993577,0.849102784,0.724236961,66.8580192,70.84962686,-3.991607658,-5.970275078,0.002495199
22,Ischemic Event,0.88,0.7,80.1,75.6,77.8,0.42,0.98,0.79,0.889216448,0.00434022,0.684552217,0.610461103,0.83993691,0.780589308,73.19720339,78.66906941,-5.471866022,-7.475512408,0.001586706
1,Ischemic Event,0.82,0.75,90.3,78.3,83.9,0.3,0.35,0.8,0.933281605,0.002848707,0.741585081,0.613718987,0.818809492,0.755387049,65.94154724,72.92872453,-6.987177288,-10.5960166,0.002590994
13,Ischemic Event,0.87,0.68,80.1,75.9,77.9,0.31,0.79,0.92,0.874581153,0.003892773,0.667871507,0.680261429,0.844810998,0.776114877,67.1321744,73.62298739,-6.490812996,-9.668706628,0.001967669
2,Ischemic Event,0.85,0.69,81.1,72.4,76.5,0.96,0.13,0.95,0.920741038,0.003052745,0.690053158,0.674099343,0.781808019,0.729309432,72.20924096,78.84939021,-6.64014925,-9.19570565,0.004635331
30,Ischemic Event,0.86,0.83,81,83,82,0.13,0.62,0.76,0.876167307,0.00329799,0.675804457,0.658428737,0.753482344,0.727056898,66.13777612,71.66091569,-5.523139571,-8.350960517,0.002378981
5,Bleeding Risk,0.82,0.84,82.2,71.3,76.4,0.18,0.99,0.92,0.871284752,0.003085394,0.721206759,0.61089097,0.793011933,0.782871407,71.46887923,75.28202378,-3.813144547,-5.335391555,0.002988788
6,Ischemic Event,0.89,0.77,89.9,73.9,81.1,0.65,0.75,0.7,0.937123951,0.004453038,0.681324416,0.662337065,0.794038281,0.718945523,71.63658639,74.79389303,-3.15730664,-4.407394041,0.003582074
10,Bleeding Risk,0.84,0.84,81.9,80.1,81,0.27,0.38,0.86,0.912016323,0.003304279,0.650465918,0.620048195,0.836141982,0.799648073,73.64141661,77.90757564,-4.266159032,-5.793151773,0.004673469
34,Bleeding Risk,0.82,0.82,88.8,83.7,86.2,0.35,0.5,0.87,0.939595282,0.003570366,0.705274298,0.602437778,0.822109178,0.702820536,67.68020628,73.78251952,-6.102313238,-9.016392788,0.001789435
8,Bleeding Risk,0.9,0.83,84.8,83.1,83.9,0.83,0.23,0.68,0.927200083,0.001721716,0.67264273,0.601988491,0.816937123,0.742991135,70.06389527,74.94674821,-4.882852945,-6.969142847,0.004653352
24,Bleeding Risk,0.84,0.81,92.7,77.4,84.4,0.01,0.73,0.84,0.929428334,0.00352382,0.722125928,0.613658734,0.756453098,0.726663383,67.05289156,73.66040315,-6.607511592,-9.854178454,0.004162344
13,Ischemic Event,0.8,0.82,92.9,74.9,82.9,0.51,0.51,0.87,0.850253733,0.002758188,0.749212055,0.642327018,0.763099837,0.751917826,74.03079775,81.25445925,-7.223661494,-9.757643728,0.003186057
21,Ischemic Event,0.85,0.66,86,79.3,82.5,0.58,0.44,0.77,0.918360572,0.001097281,0.690605535,0.643893613,0.830275246,0.743026171,71.32152059,76.36052514,-5.039004557,-7.06519507,0.002256495
32,Ischemic Event,0.82,0.7,88.2,85.7,86.9,0.98,0.06,0.72,0.868587096,0.003333216,0.721970711,0.613459656,0.810831337,0.757019967,70.8302518,74.87502411,-4.044772307,-5.710515216,0.004499263
34,Bleeding Risk,0.91,0.78,80.7,84.9,82.7,0.62,0.98,0.77,0.910083856,0.004281524,0.710533948,0.670558418,0.781207587,0.798123857,72.64187367,78.03634606,-5.394472394,-7.426119566,0.002627908
10,Ischemic Event,0.83,0.79,90.4,72.1,80.2,0.8,1,0.68,0.900979971,0.002135786,0.683080111,0.652903627,0.774548055,0.777616203,72.86633785,75.93359053,-3.067252678,-4.209423403,0.001480765
9,Ischemic Event,0.9,0.65,81,81.6,81.3,0.55,0.89,0.83,0.904607211,0.002979657,0.676636663,0.662694652,0.788259821,0.70740232,74.47650935,82.253161,-7.776651646,-10.44175098,0.004219376
9,Bleeding Risk,0.91,0.73,91.3,83.1,87,0.01,1,0.95,0.85800393,0.00101489,0.708041061,0.605342932,0.807071578,0.757471739,74.18604658,79.57192269,-5.385876117,-7.259958396,0.001467515
12,Bleeding Risk,0.87,0.74,91.5,72.3,80.8,0.25,0.01,0.85,0.891792218,0.003938608,0.722030217,0.604721349,0.763484517,0.78479546,71.21102392,75.15264641,-3.941622491,-5.535129639,0.004196445
1,Ischemic Event,0.85,0.69,91.5,83.5,87.3,0.64,0.94,0.82,0.94798363,0.003182663,0.698522413,0.669795401,0.782526965,0.705840646,68.52455385,73.62218787,-5.097634023,-7.439134932,0.004928578
12,Ischemic Event,0.86,0.7,87.6,84.8,86.2,0.52,0.31,0.81,0.939556249,0.004282121,0.738454617,0.60397924,0.803368752,0.75755625,68.95054729,75.85347665,-6.902929363,-10.0114207,0.004705111
16,Bleeding Risk,0.87,0.81,79.7,79.7,79.7,0.1,0.72,0.84,0.863264432,0.002603227,0.662778639,0.676863734,0.750328212,0.789907828,71.89890859,77.66744342,-5.768534823,-8.023118759,0.003236211
11,Bleeding Risk,0.8,0.66,79.6,81,80.3,0.99,0.6,0.84,0.926643067,0.001746237,0.692311422,0.612801497,0.787926498,0.772313743,66.67692889,73.91671859,-7.239789693,-10.85801313,0.004445534
19,Ischemic Event,0.9,0.8,83.2,82.5,82.8,0.18,0.51,0.66,0.909148731,0.003227848,0.66401895,0.689682437,0.769118788,0.786675194,71.2451082,76.39138874,-5.146280536,-7.223345808,0.002724414
6,Bleeding Risk,0.91,0.72,79.2,74,76.5,0.32,0.44,0.72,0.892176692,0.004380253,0.703906275,0.637549982,0.7779668,0.710974199,67.15493569,73.6692698,-6.514334101,-9.700454678,0.001504705
14,Bleeding Risk,0.81,0.78,84.3,81.3,82.8,0.21,0.41,0.74,0.920530908,0.004539904,0.678510011,0.680060244,0.760840721,0.722109538,66.58369225,73.60432768,-7.020635436,-10.54407648,0.001371625
17,Bleeding Risk,0.84,0.76,88.1,75.4,81.3,0.53,0.44,0.78,0.932496113,0.003901128,0.67605578,0.669234342,0.834493037,0.710713916,65.87068941,71.55246725,-5.681777835,-8.625654119,0.004930525
2,Ischemic Event,0.79,0.84,85.3,83.6,84.4,0.91,1,0.66,0.862178206,0.004712841,0.728897632,0.626368017,0.837420767,0.700169851,67.55412564,74.3855877,-6.831462065,-10.11257566,0.002476914
2,Bleeding Risk,0.85,0.83,92.2,76.3,83.5,0.74,0.51,0.83,0.896393574,0.00393425,0.701929875,0.634607989,0.773677402,0.79671015,70.53831281,76.91602272,-6.377709915,-9.041483502,0.00129834
7,Ischemic Event,0.86,0.76,85.4,75.1,79.9,0.73,0.17,0.72,0.915306396,0.001852414,0.67946144,0.624463568,0.828139794,0.793734697,67.07431584,71.21207104,-4.137755203,-6.168911529,0.001152236
34,Ischemic Event,0.87,0.82,82.1,81.5,81.8,0.59,0.68,0.73,0.873090648,0.003593186,0.698106641,0.656279627,0.818849584,0.75408354,71.28114367,79.08499921,-7.803855539,-10.94799429,0.004826157
31,Bleeding Risk,0.83,0.76,86.4,82.4,84.4,0.56,0.35,0.86,0.905103717,0.001042359,0.72860366,0.662738459,0.781796797,0.737989152,67.07597404,72.72599381,-5.650019778,-8.423313801,0.003387764
8,Ischemic Event,0.84,0.83,89.5,83.9,86.6,0.87,0.69,0.72,0.896450391,0.001045992,0.737985193,0.65053396,0.760300773,0.718453267,69.65401686,75.41907289,-5.765056031,-8.276702896,0.004960613
19,Ischemic Event,0.88,0.75,92.4,75.4,83,0.41,0.64,0.82,0.902364733,0.004242043,0.691670964,0.647539207,0.821229643,0.7640629,74.91547117,81.82131384,-6.905842674,-9.218179592,0.001527218
30,Bleeding Risk,0.78,0.8,85.2,74,79.2,0.61,0.09,0.9,0.89730573,0.004916327,0.682021043,0.634506222,0.765049115,0.731080525,73.42733395,77.19007525,-3.762741295,-5.124442211,0.001399237
11,Bleeding Risk,0.92,0.67,87.8,72.2,79.2,0.7,0.06,0.78,0.941290371,0.004012965,0.739347063,0.676004338,0.838123322,0.76435682,74.23892131,79.38284943,-5.143928124,-6.928883169,0.00262095
24,Ischemic Event,0.78,0.76,81.2,81,81.1,0.7,0.61,0.78,0.911052581,0.004151876,0.701565281,0.692173565,0.792854853,0.732220995,74.75349341,82.30523687,-7.551743455,-10.10219471,0.004554589
22,Bleeding Risk,0.87,0.7,86.1,75.8,80.6,0.23,0.83,0.82,0.873240062,0.004786896,0.693466438,0.632369387,0.752244305,0.723450914,70.75210165,75.0978897,-4.345788056,-6.142274159,0.004699818
1,Ischemic Event,0.83,0.82,84.8,75.6,79.9,0.86,0.41,0.69,0.931563009,0.001908275,0.652053853,0.645348168,0.760894142,0.765278101,74.03625123,81.15935208,-7.123100852,-9.621098764,0.003834072
31,Ischemic Event,0.87,0.73,79.2,85.1,82,0.71,0,0.9,0.89918105,0.003773234,0.67698716,0.677471952,0.843056017,0.782501321,69.71049123,77.60187026,-7.891379029,-11.32021722,0.001189869
6,Ischemic Event,0.84,0.85,88.4,77.7,82.7,0.73,0.31,0.66,0.925338656,0.004833333,0.71781861,0.676391624,0.793225667,0.785114162,66.4532755,70.53030438,-4.077028884,-6.135181229,0.002286213
12,Bleeding Risk,0.89,0.65,86.2,78.9,82.4,0.02,0.22,0.69,0.92894604,0.003672928,0.723731195,0.608170312,0.817302054,0.796074065,69.92947084,73.38839658,-3.458925741,-4.946306184,0.003611379
3,Ischemic Event,0.89,0.78,86.8,75.4,80.7,0.29,0.95,0.7,0.850536048,0.002961315,0.690888032,0.631047225,0.823968539,0.7816296,70.85830298,77.2921975,-6.433894523,-9.079944413,0.003299964
12,Bleeding Risk,0.9,0.83,91.7,81.5,86.3,0.07,0.7,0.94,0.877224692,0.002827023,0.695688506,0.672260222,0.797067614,0.782623003,68.78114157,73.94466882,-5.16352725,-7.507184574,0.004240218
5,Ischemic Event,0.84,0.72,83.7,80.2,81.9,0.87,0.44,0.95,0.930270326,0.004349855,0.663782817,0.686189881,0.760093499,0.702675079,68.68015172,71.84240328,-3.162251561,-4.604316504,0.002767565
24,Bleeding Risk,0.79,0.67,80.7,72,76.1,0.57,0.18,0.66,0.927077435,0.002808349,0.714113336,0.689506492,0.785780499,0.724019957,72.36301243,79.39652327,-7.033510837,-9.719759584,0.004310848
6,Ischemic Event,0.87,0.79,86.7,82.8,84.7,0.07,0.19,0.8,0.873563719,0.00449598,0.729666091,0.611850157,0.802337795,0.724465077,66.37925266,74.02877447,-7.649521811,-11.52396495,0.002226608
33,Ischemic Event,0.88,0.81,90.9,84.1,87.4,0.27,0.87,0.95,0.915938577,0.002060621,0.669871356,0.616475134,0.792263465,0.77326243,74.47005309,81.6030409,-7.132987812,-9.578330505,0.001848705
17,Ischemic Event,0.84,0.65,82,74.5,78.1,0.42,0.81,0.84,0.860239904,0.004561097,0.684712765,0.601562084,0.816644911,0.784818202,70.90288226,74.76019944,-3.857317175,-5.440282612,0.00326476
10,Bleeding Risk,0.8,0.83,80.6,81.4,81,0.63,0.71,0.87,0.881782428,0.001326017,0.667546652,0.615150931,0.756311648,0.768854346,74.85943742,78.40796233,-3.548524911,-4.740250572,0.002374289
24,Bleeding Risk,0.88,0.77,92.3,76.4,83.6,0.75,0.25,0.85,0.942804604,0.001376556,0.669564399,0.634105105,0.817670858,0.703592172,73.93304575,81.32665376,-7.39360801,-10.00041042,0.003553131
